basename,pag_cnt,pat_id,table_name
FOUND_Enrollment_Status.csv,0,True,
AV-133_SBR_Results.csv,0,False,AV133SBR
Lumbar_Puncture_Sample_Collection.csv,1,True,LUMBAR
Montreal_Cognitive_Assessment__MoCA_.csv,1,True,MOCA
IUSM_BIOSPECIMEN_CELL_CATALOG.csv,0,False,IUSMCAT
Lower_Extremity_Function__Mobility_.csv,1,True,NQOLLEFS
Derived_Variable_Definitions_and_Score_Calculations.csv,0,False,
Semantic_Fluency.csv,2,True,
MDS_UPDRS_Part_III.csv,2,True,
Deprecated_Biospecimen_Analysis_Results.csv,0,True,
Geriatric_Depression_Scale__Short_.csv,1,True,GDSSHORT
Trail_Making_A_and_B.csv,1,True,TMT
PPMI_Year_1-3_Data_02Jul2018.csv,0,True,
Blood_Chemistry___Hematology.csv,1,True,COVANCE
PPMI_PD_Variants_Genetic_Status_WGS_20180921.csv,0,True,
Wearable_and_Sensor_Participation_Status.csv,1,True,WRSNSSST
TAP-PD_OPDM_Assessment.csv,2,True,OPDM
Symbol_Digit_Modalities.csv,1,True,SDM
State-Trait_Anxiety_Inventory.csv,1,True,STAI
FOUND_RFQ_Alcohol.csv,0,False,
TAP-PD_Kinetics_Device_Testing.csv,0,True,KINETICS
DNA_Sample_Collection.csv,1,True,DNA
Center-Subject_List.csv,0,True,CENTER
Data_Dictionary.csv,0,False,DATADICT
Contact_Information_FOUND.csv,1,True,FOUNDINF
FOUND_Self-Reported_Dx.csv,0,True,
Pregnancy_Form.csv,1,True,PREGNANC
Benton_Judgment_of_Line_Orientation.csv,2,True,BENTON
Research_Advance_Directive.csv,1,True,RAD
FOUND_RFQ_Pesticides_Non-Work.csv,0,False,
Magnetic_Resonance_Imaging.csv,1,True,MRI
FOUND_RFQ_Toxicant_History.csv,0,False,
PASE_-_Leisure_Time_Activity.csv,1,True,PASETIME
Cognition_Function-Short_Form.csv,1,True,NQCOGNS
FOUND_RFQ_Anti-Inflammatory_Meds.csv,0,False,
MDS_UPDRS_Part_II__Patient_Questionnaire.csv,1,True,NUPDRS2P
TAP-PD_Subject_Eligibility.csv,1,True,TAPELIG
Surgery_for_Parkinson_Disease.csv,1,True,SURGPD
Randomization_table.csv,1,True,RANDOM
FOUND_RFQ_Residential_History.csv,0,False,
Neurological_Exam_-_Cranial_Nerves.csv,1,True,NEURCRAN
DTI_Regions_of_Interest.csv,1,True,DTIROI
Genetic_and_Registry_Diagnostic_Questionnaire.csv,1,True,DIAGQUES
PD_Features.csv,1,True,PDFEAT
FOUND_RFQ_Physical_Activity.csv,0,False,
Vital_Signs.csv,1,True,VITAL
DaTSCAN_SPECT_Visual_Interpretation_Assessment.csv,0,True,SPECTASS
IUSM_CATALOG.csv,0,False,IUSM
FBB_Metadata.csv,0,True,FBBMETA
MRI_Imaging_Data_Transfer_Information_Source_Document.csv,0,True,MRITRANS
QUIP_Current_Short.csv,1,True,QUIPCS
Prodromal_Diagnostic_Questionnaire.csv,2,True,
FBB_Analysis_Data.csv,0,True,FBBANAL
University_of_Pennsylvania_Smell_ID_Test.csv,1,True,UPSIT
FOUND_RFQ_Calcium_Channel_Blockers.csv,0,False,
Lexical_Fluency.csv,1,True,LEXICAL
Wearable_and_Sensor_Eligibility.csv,1,True,WRSNSELG
Features_of_REM_Behavior_Disorder.csv,1,True,REMBHVDS
Epworth_Sleepiness_Scale.csv,1,True,EPWORTH
Letter_-_Number_Sequencing__PD_.csv,1,True,LNSPD
Florbetaben_Eligibility.csv,1,True,FBELIG
AV-133_Image_Metadata.csv,0,True,IMGMETA
Diagnostic_Features.csv,1,True,DIAGFEAT
Clinical_Diagnosis_and_Management.csv,1,True,CLINDX
FOUND_RFQ_Height___Weight.csv,0,False,
Clinical_Labs.csv,2,True,CLINLABS
Skin_Biopsy.csv,1,True,SKBIO
Page_Descriptions.csv,153,False,PAGEDESC
General_Medical_History.csv,1,True,MHXGEN
Contact_Information_Brain_Bank.csv,1,True,BBNKINF
Upper_Extremity_Function-_Short_Form.csv,1,True,NQOLLEFS
MDS_UPDRS_Part_I__Patient_Questionnaire.csv,1,True,NUPDRS1P
Use_of_PD_Medication.csv,1,True,PDMEDUSE
AV-133_Imaging.csv,1,True,AVIMAG
TAP-PD_OPDM_Use_Questionnaire.csv,1,True,TAPUSE
Conclusion_of_Study_Participation.csv,1,True,CONCL
ST_CATALOG.csv,0,True,STCAT
Skin_Biopsy_Eligibility.csv,1,True,SKBIOELG
RBD_PSG_Eligibility.csv,0,True,RBDPSG
DaTscan_Imaging.csv,1,True,DATSCAN
SPECT_Scan_Information_Source_Document.csv,0,True,SPECTSCN
Olfactory_UPSIT.csv,0,False,OLFUPSIT
General_Physical_Exam.csv,1,True,GENPHYEX
FOUND_RFQ_Head_Injury.csv,0,False,
DATScan_Analysis.csv,0,True,DATANAL
Concomitant_Medications.csv,1,True,CMED
Inclusion_Exclusion.csv,23,True,INCEXC
Current_Biospecimen_Analysis_Results.csv,0,True,
AV-133_Subject_Eligibility.csv,1,True,AVELIG
Genetic_Testing_Results.csv,1,True,MUTRSLT
General_Neurological_Exam.csv,1,True,PENEURO
Primary_Diagnosis.csv,1,True,PRIMDXPD
Whole_Blood_Sample_Collection.csv,1,True,WHOLEBLD
REM_Sleep_Disorder_Questionnaire.csv,1,True,REMSLEEP
Patient_Status.csv,0,True,PATSTAT
Cognitive_Assessments.csv,2,True,
FOUND_RFQ_Pesticides_at_Work.csv,0,False,
FOUND_RFQ_Caffeine.csv,0,False,
TAP-PD_Conclusion.csv,1,True,TAPCONCL
Socio-Economics.csv,1,True,SOCIOECO
FOUND_RFQ_Occupation.csv,0,False,
FOUND_RFQ_Female_Reproductive_Health.csv,0,False,
MDS_UPDRS_Part_I.csv,1,True,NUPDRS1
Current_Medical_Conditions_Log.csv,1,True,CURRCOND
PASE_-_Household_Activity.csv,1,True,PASEHSE
iPSC_Blood_Sample.csv,1,True,IPSCLAB
FOUND_RFQ_Smoking_History.csv,0,False,
Gait_Data___Arm_swing.csv,0,True,
Adverse_Event_Log.csv,1,True,AE
Pilot_Biospecimen_Analysis_Results.csv,0,True,
MDS-UPDRS_Tagging_Status.csv,1,True,NUPDRTAG
Family_History__PD_.csv,1,True,FAMHXPD
Initiation_of_PD_Medication-_incidents.csv,0,True,INITMEDS
Code_List.csv,103,False,CODELIST
Modified_Boston_Naming_Test.csv,1,True,MODBSTN
MDS_UPDRS_Part_IV.csv,1,True,NUPDRS4
Signature_Form.csv,1,True,SIG
Laboratory_Procedures.csv,1,True,LABPROC
Communication-Short_Form.csv,1,True,NQCOMMS
SCOPA-AUT.csv,1,True,SCOPAAUT
Cognitive_Categorization.csv,2,True,COGCAT
Screening___Demographics.csv,1,True,SCREEN
Laboratory_Procedures_with_Elapsed_Times.csv,1,True,LABTIMES
PPMI_Baseline_Data_02Jul2018.csv,0,True,
Modified_Schwab_+_England_ADL.csv,1,True,MODSEADL
FOUND_RFQ_Dictionary.csv,0,False,
Hopkins_Verbal_Learning_Test.csv,1,True,HVLT
